編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSQMLMKIIPFFBH68CC,升降平面,0,,
RPTNMLMKIIPFFAH38CC,坡道平面,0,22.34,
RPPOMLMKIIPFFDH38CC,坡道平面,0,39.81,
RPOOMLMKIIPFFDH28CC,坡道平面,0,31.70,
RPPOMLMKIIPFFAH28EC,坡道平面,0,36.65,
RPPOMLMKIIPFFAH28EC,坡道平面,0,36.65,
RPOOMLMKIIPFFFH48CC,坡道平面,0,,
RPOQMLMKIIPFFEH58CC,坡道平面,0,36.40,
RPOQMLMKIIPFFEH58CC,坡道平面,0,36.40,
RPOQMLMKIIPFFEH58CC,坡道平面,0,36.40,
RPWNMLNKIIPFFGH96EC,坡道平面,0,34.41,
RPXPMLNKIIPFFHH17CC,坡道平面,0,33.75,
RPRSMLOKIIPFFAH88CC,坡道平面,0,,
RPWOMLPKIIPFFGH07CC,坡道平面,0,,
RPXOMLPKIIPFFGH17CC,一樓平面,0,38.36,
RPQNMLPKIIPFFAH38CC,坡道平面,0,39.68,
RPURMLPKIIPFFEH96CC,坡道平面,0,,
RPUNMLPKIIPFFAH78CC,坡道平面,0,23.77,
RPUNMLPKIIPFFAH78CC,坡道平面,0,23.77,
RPXOMLOKIIPFFFH96CC,坡道平面,0,31.15,
RPVQMLPKIIPFFAH56CC,坡道平面,0,27.24,
RPRRMLPKIIPFFAH88CC,坡道平面,0,,
RPPSMLPKIIPFFAH78CC,坡道平面,0,,
RPRQMLPKIIPFFAH78CC,坡道平面,0,34.47,
RPOOMLPKIIPFFBH38CC,坡道平面,0,33.71,
RPVNMLTKIIPFFHH37CC,塔式車位,1333,,
RPXQMLQKIIPFFBH07DC,坡道平面,0,,
RPRNMLTKIIPFFEH66CC,坡道平面,0,47.18,
RPWNMLQKIIPFFHH17CC,升降平面,0,28.14,
RPXNMLQKIIPFFCH76CC,坡道平面,0,36.44,
RPTOMLTKIIPFFFH07CC,坡道平面,0,,
RPWNMLQKIIPFFCH66CC,坡道平面,0,36.44,
RPTOMLTKIIPFFGH17CC,坡道平面,0,,
RPXNMLKLIIPFFFH56CC,坡道平面,0,,
