鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
嘉義市,房地(土地+建物),彌陀路91~120號,16.31,都市：其他:住宅區,,,1090917,土地1建物1車位0,一層，二層，地下一層,二十層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850311,180.75,2,2,2,有,有,6036000,33394,,0.0,0,,RPUNMLLLRHPFFAI66DA,147.62,0.0,10.54,有
嘉義市,房地(土地+建物),興雅路91~120號,3.91,都市：其他:商業區,,,1091008,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820824,37.2,0,0,0,無,有,1350000,36290,,0.0,0,,RPSOMLMKIIPFFAI38DA,28.41,0.0,0.68,有
嘉義市,房地(土地+建物)+車位,保建街31~60號,27.34,都市：其他:住宅區,,,1090908,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0820623,148.13,3,2,2,有,有,5100000,34429,坡道平面,0.0,0,,RPPNMLSKIIPFFAI58DA,82.42,0.0,6.8,有
嘉義市,土地,東門段四小段1~30地號,31.87,都市：其他:住宅區,,,1091024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2208000,69281,,0.0,0,,RPSNMLQLIIPFFAI78DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物)+車位,市宅街31~60號,77.35,都市：其他:住宅區,,,1091006,土地1建物2車位2,一層，二層，三層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830616,411.36,3,2,5,有,有,10680000,25963,坡道機械,0.0,0,,RPUOMLNJJIPFFAI68DA,276.99,15.04,14.97,有
嘉義市,房地(土地+建物),吳鳳南路31~60號,5.1,都市：其他:住宅區,,,1091027,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830830,28.4,1,1,1,有,有,1750000,61620,,0.0,0,,RPTPMLNJJIPFFAI68DA,19.02,0.0,2.2,有
嘉義市,房地(土地+建物),小雅路361~390號,11.19,都市：其他:住宅區,,,1091016,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,88.00999999999999,2,2,1,有,有,3620000,41132,,0.0,0,,RPPPMLOJJIPFFAI38DA,57.92,0.0,7.55,有
嘉義市,房地(土地+建物),中山路121~150號,95.0,都市：其他:住宅區,,,1091021,土地1建物1車位0,全,二層,透天厝,商業用,木造,0490301,140.27,0,0,0,無,無,20500000,146147,,0.0,0,,RPTOMLMJJIPFFAI48DA,140.27,0.0,0.0,無
嘉義市,房地(土地+建物),忠孝路511~540號,45.5,都市：其他:住宅區,,,1091028,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土加強磚造,0690917,90.03,3,2,1,有,無,3250000,36099,,0.0,0,,RPPNMLQJJIPFFAI38DA,83.52,0.0,0.0,無
