編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLQJJIPFFAI38DA,40,6.51,共有部份,鋼筋混凝土加強磚造,69年9月17日,四層,
RPPNMLQJJIPFFAI38DA,40,83.52,見其他登記事項,鋼筋混凝土加強磚造,69年9月17日,四層,三層
RPPNMLSKIIPFFAI58DA,27,89.22,見其他登記事項,鋼筋混凝土造,82年6月23日,十三層,十一層
RPPNMLSKIIPFFAI58DA,27,11.04,共有部份,鋼筋混凝土造,82年6月23日,十三層,
RPPNMLSKIIPFFAI58DA,27,1.89,共有部份,鋼筋混凝土造,82年6月23日,十三層,
RPPNMLSKIIPFFAI58DA,27,14.91,共有部份,鋼筋混凝土造,82年6月23日,十三層,
RPPNMLSKIIPFFAI58DA,27,4.52,共有部份,鋼筋混凝土造,82年6月23日,十三層,
RPPNMLSKIIPFFAI58DA,27,26.56,商業用,鋼筋混凝土造,82年6月23日,十三層,
RPQNMLQJJIPFFAI48DA,22,99.10,住家用,鋼筋混凝土造,87年6月11日,六層,六層
RPQNMLQJJIPFFAI48DA,22,48.37,共有部份,鋼筋混凝土造,87年6月11日,六層,
RPTOMLMJJIPFFAI48DA,61,140.27,商業用,木造,49年3月1日,二層,一層 二層 騎樓
RPXOMLTJJIPFFAI96DA,25,2.23,共有部份,鋼筋混凝土造,84年10月13日,十二層,
RPXOMLTJJIPFFAI96DA,25,19.45,共有部份,鋼筋混凝土造,84年10月13日,十二層,
RPXOMLTJJIPFFAI96DA,25,16.34,見其他登記事項,鋼筋混凝土造,84年10月13日,十二層,
RPXOMLTJJIPFFAI96DA,25,91.16,住家用,鋼筋混凝土造,84年10月13日,十二層,六層
RPSOMLMKIIPFFAI38DA,27,29.09,住家用,鋼筋混凝土造,82年8月24日,九層,九層
RPSOMLMKIIPFFAI38DA,27,8.11,共有部份,鋼筋混凝土造,82年8月24日,九層,
RPUNMLLLRHPFFAI66DA,25,158.16,住商用,鋼筋混凝土造,85年3月11日,二十層,一層 二層 地下一層
RPUNMLLLRHPFFAI66DA,25,22.59,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPUOMLNJJIPFFAI68DA,26,152.59,住商用,鋼筋混凝土造,83年6月16日,七層,一層 二層 三層
RPUOMLNJJIPFFAI68DA,26,154.41,住商用,鋼筋混凝土造,83年6月16日,七層,一層 二層 三層
RPUOMLNJJIPFFAI68DA,26,24.77,共有部份,鋼筋混凝土造,83年6月16日,七層,
RPUOMLNJJIPFFAI68DA,26,25.10,共有部份,鋼筋混凝土造,83年6月16日,七層,
RPUOMLNJJIPFFAI68DA,26,27.15,共有部份,鋼筋混凝土造,83年6月16日,七層,
RPUOMLNJJIPFFAI68DA,26,27.33,共有部份,鋼筋混凝土造,83年6月16日,七層,
RPOPMLTJJIPFFAI78DA,74,91.24,住商用,木造,36年1月30日,二層,一層 二層 騎樓
RPTPMLNJJIPFFAI68DA,26,21.22,住家用,鋼筋混凝土造,83年8月30日,七層,三層
RPTPMLNJJIPFFAI68DA,26,7.18,共有部份,鋼筋混凝土造,83年8月30日,七層,
RPTPMLTJJIPFFAI66DA,14,169.75,住家用,鋼筋混凝土造,95年8月22日,四層,一層 二層 三層 四層
RPWPMLTJJIPFFAI96DA,,204.47,見其他登記事項,見其他登記事項,109年7月13日,三層,一層 二層 三層 見其他登記事項
RPRPMLTJJIPFFAI09DA,,21.89,見其他登記事項,見其他登記事項,109年4月14日,四層,一層
RPRPMLTJJIPFFAI09DA,,252.77,見其他登記事項,見其他登記事項,109年4月14日,四層,一層 二層 三層 四層 見其他登記事項
RPRPMLTJJIPFFAI09DA,,1.74,見其他登記事項,見其他登記事項,109年4月14日,四層,
RPRPMLTJJIPFFAI09DA,,20.12,見其他登記事項,見其他登記事項,109年4月14日,四層,
RPUPMLTJJIPFFAI76DA,31,20.18,共有部份,鋼筋混凝土造,78年6月6日,五層,
RPUPMLTJJIPFFAI76DA,31,110.11,住家用,鋼筋混凝土造,78年6月6日,五層,二層
RPRQMLTJJIPFFAI56DA,40,285.18,住商用,鋼筋混凝土加強磚造,69年6月6日,四層,一層 二層 三層 四層 騎樓 地下層
RPXNMLQJJIPFFAI66EA,26,200.34,住家用,鋼筋混凝土造,83年11月23日,十一層,四層
RPXNMLQJJIPFFAI66EA,26,46.06,共有部份,鋼筋混凝土造,83年11月23日,十一層,
SPWPMLTJJIPFFAI07DA,,202.30,見其他登記事項,見其他登記事項,109年7月13日,三層,一層 二層 三層 見其他登記事項
RPPPMLOJJIPFFAI38DA,27,12.20,共有部份,鋼筋混凝土造,82年6月9日,十二層,
RPPPMLOJJIPFFAI38DA,27,10.34,共有部份,鋼筋混凝土造,82年6月9日,十二層,
RPPPMLOJJIPFFAI38DA,27,65.47,住家用,鋼筋混凝土造,82年6月9日,十二層,四層
