編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLQJJIPFFAI38DA,中庄段,45.50,都市：其他:住宅區,持分移轉
RPPNMLSKIIPFFAI58DA,同興段,27.34,都市：其他:住宅區,持分移轉
RPQNMLQJJIPFFAI48DA,竹圍子段三小段,32.53,都市：其他:住宅區,持分移轉
RPTOMLMJJIPFFAI48DA,中山段六小段,95.00,都市：其他:住宅區,全筆移轉
RPXOMLTJJIPFFAI96DA,埤子頭段,14.56,都市：其他:住宅區,持分移轉
RPSOMLMKIIPFFAI38DA,竹圍子段二小段,3.91,都市：其他:商業區,持分移轉
RPUNMLLLRHPFFAI66DA,下路頭段,16.31,都市：其他:住宅區,持分移轉
RPUOMLNJJIPFFAI68DA,堀川段,77.35,都市：其他:住宅區,持分移轉
RPSNMLQLIIPFFAI78DA,東門段四小段,31.87,都市：其他:住宅區,持分移轉
RPOPMLTJJIPFFAI78DA,西門段六小段,53.00,都市：其他:商業區,全筆移轉
RPOPMLTJJIPFFAI78DA,西門段六小段,3.00,都市：其他:商業區,全筆移轉
RPOPMLTJJIPFFAI78DA,西門段六小段,13.00,都市：其他:商業區,全筆移轉
RPTPMLNJJIPFFAI68DA,玉川段,5.10,都市：其他:住宅區,持分移轉
RPTPMLTJJIPFFAI66DA,下路頭段,84.00,都市：其他:住宅區,全筆移轉
RPTPMLTJJIPFFAI66DA,下路頭段,17.44,都市：其他:住宅區,持分移轉
RPWPMLTJJIPFFAI96DA,湖子內段興安小段,98.38,都市：其他:住宅區,全筆移轉
RPRPMLTJJIPFFAI09DA,埤子頭段,8.00,都市：其他:住宅區,全筆移轉
RPRPMLTJJIPFFAI09DA,埤子頭段,104.00,都市：其他:住宅區,全筆移轉
RPUPMLTJJIPFFAI76DA,白川段,39.63,都市：其他:住宅區,持分移轉
RPRQMLTJJIPFFAI56DA,末廣段四小段,6.00,都市：其他:商業區,全筆移轉
RPRQMLTJJIPFFAI56DA,末廣段四小段,73.00,都市：其他:商業區,全筆移轉
RPRQMLTJJIPFFAI56DA,末廣段四小段,8.00,都市：其他:商業區,全筆移轉
RPXNMLQJJIPFFAI66EA,竹圍子段二小段,28.21,都市：其他:住宅區,持分移轉
SPWPMLTJJIPFFAI07DA,湖子內段興安小段,99.99,都市：其他:住宅區,全筆移轉
