編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSKIIPFFAI58DA,坡道平面,0,,地下一樓
RPQNMLQJJIPFFAI48DA,升降機械,0,,地下一樓
RPXOMLTJJIPFFAI96DA,坡道機械,0,,地下二樓
RPUOMLNJJIPFFAI68DA,坡道機械,0,,地下一樓
RPUOMLNJJIPFFAI68DA,坡道機械,0,,地下一樓
RPXNMLQJJIPFFAI66EA,升降機械,0,,地下一樓
RPQQMLTJJIPFFAI09DA,坡道平面,0,33.93,地下一樓
RPWOMLKKJIPFFAI68DA,坡道平面,0,,地下二樓
RPROMLTJJIPFFAI98DA,坡道機械,0,,地下二樓
RPQNMLLKJIPFFAI08DA,坡道機械,0,,地下一樓
RPVNMLPJJIPFFAI88DA,坡道平面,0,33.93,地下一樓
RPOQMLTJJIPFFAI88DA,坡道平面,0,,地下二樓
RPVNMLLKJIPFFAI58DA,坡道機械,0,,地下二樓
RPTOMLLKJIPFFAI48DA,坡道平面,0,,地下一樓
RPTOMLLKJIPFFAI48DA,坡道機械,0,,地下一樓
RPRNMLLKJIPFFAI18DA,坡道平面,0,,地下一樓
RPVNMLNKJIPFFAI78DA,坡道平面,0,,地下一樓
RPQOMLSKJIPFFAI88DA,升降機械,0,,地下一樓
RPOOMLSKJIPFFAI68DA,坡道機械,0,,地下一樓
