編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLMKIIPFFAI38CC,30,33.64,住家用,鋼筋混凝土造,79年10月23日,七層,
RPOOMLPKIIPFFAI38CC,23,104.66,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPOOMLPKIIPFFAI38CC,23,19.62,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPOOMLPKIIPFFAI38CC,23,23.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPPOMLPKIIPFFAI48CC,5,16.72,見其他登記事項,見其他登記事項,104年11月10日,五層,
RPRNMLTKIIPFFAI98CC,26,103.33,住家用,鋼筋混凝土造,83年12月15日,六層,
RPSNMLTKIIPFFAI09CC,26,113.68,住家用,鋼筋混凝土造,83年7月23日,十一層,
RPSNMLQKIIPFFAI98EC,16,115.54,住家用,鋼筋混凝土造,93年11月3日,十四層,
RPSNMLQKIIPFFAI98EC,16,72.35,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPQOMLMKIIPFFAI28CC,37,86.81,住家用,鋼筋混凝土加強磚造,73年4月12日,二層,
