鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
竹北市,房地(土地+建物)+車位,莊敬北路211~240號,12.78,都市：其他:第二種商業區,,,1090809,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090221,185.89,3,2,2,有,有,16090000,96120,坡道平面,30.46,1150000,,RPUQMLMJRHPFFBJ07DA,87.29,8.44,8.82,有
竹北市,土地,永興段541~570地號,861.97,都市：其他:住宅區,,,1090903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,203346000,235908,,0.0,0,,RPTPMLNJRHPFFBJ96DA,0.0,0.0,0.0,無
竹北市,房地(土地+建物)+車位,成功十六街1~30號,21.56,都市：其他:第一種住宅區,,,1070518,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090702,139.96,2,2,2,有,有,10040000,83465,坡道平面,32.73,1090000,,RPRTMLLKRHPFFBJ07DA,63.46,1.7,6.02,有
竹北市,房地(土地+建物)+車位,成功十六街1~30號,27.6,都市：其他:第一種住宅區,,,1070602,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090702,180.89,2,2,2,有,有,14020000,86866,坡道平面,32.73,1150000,,RPOOMLLLRHPFFBJ98DA,82.47,3.96,12.45,有
竹北市,房地(土地+建物)+車位,成功十六街1~30號,36.94,都市：其他:第一種住宅區,,,1070603,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090702,241.97,4,2,2,有,有,17300000,83281,坡道平面,65.46,2600000,,RPOPMLLLRHPFFBJ09DA,100.21,4.76,12.81,有
竹北市,房地(土地+建物)+車位,成功十六街1~30號,37.34,都市：其他:第一種住宅區,,,1070518,土地1建物1車位2,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090702,244.53,3,2,2,有,有,16300000,78852,坡道平面,65.46,2180000,,RPXRMLOLRHPFFBJ87DA,101.61,4.76,13.05,有
竹北市,房地(土地+建物)+車位,台元街31~60號,14.73,都市：其他:第三種商業區,,,1091009,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970627,148.26999999999998,3,2,2,有,有,8120000,54765,坡道平面,0.0,0,,RPQNMLLMIIPFFBJ38DA,74.4,4.74,4.17,有
竹北市,土地,舊港段漁寮小段211~240地號,1140.0,,特定農業區,農牧用地,1091008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,5263,,0.0,0,,RPRNMLQJJIPFFBJ78DA,0.0,0.0,0.0,無
竹北市,房地(土地+建物)+車位,中正東路181~210號,21.13,都市：其他:第二種住宅區,,,1091005,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880723,172.55,4,2,2,有,有,9650000,55926,坡道機械,0.0,0,,RPOTMLQJJIPFFBJ09DA,105.64,0.0,12.28,有
竹北市,房地(土地+建物)+車位,莊敬北路181~210號,15.5,都市：其他:第二種商業區,,,1090805,土地1建物1車位1,十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090221,206.32,4,2,2,有,有,18100000,94962,坡道平面,30.46,1400000,,RPPNMLRJJIPFFBJ68DA,102.17,5.18,9.46,有
竹北市,房地(土地+建物)+車位,莊敬北路211~240號,16.66,都市：其他:第二種商業區,,,1090828,土地1建物1車位2,十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090221,240.57,4,2,2,有,有,20330000,94512,坡道平面,60.92,3350000,,RPQNMLRJJIPFFBJ78DA,105.02,5.92,9.71,有
竹北市,房地(土地+建物)+車位,莊敬北路211~240號,16.66,都市：其他:第二種商業區,,,1090830,土地1建物1車位2,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090221,242.94,4,2,2,有,有,23850000,112344,坡道平面,60.92,3400000,,RPRNMLRJJIPFFBJ88DA,105.43,6.01,10.8,有
竹北市,房地(土地+建物)+車位,莊敬北路211~240號,12.4,都市：其他:第二種商業區,,,1090726,土地1建物1車位1,十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090221,181.76,3,2,2,有,有,17690000,109319,坡道平面,30.46,1150000,,RPSNMLRJJIPFFBJ98DA,87.2,5.58,8.78,有
竹北市,房地(土地+建物)+車位,莊敬北路211~240號,16.66,都市：其他:第二種商業區,,,1090920,土地1建物1車位2,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090221,241.92000000000002,4,2,2,有,有,24280000,115635,坡道平面,60.92,3350000,,RPPNMLTJJIPFFBJ88DA,105.02,5.92,10.7,有
竹北市,房地(土地+建物)+車位,莊敬北路211~240號,16.66,都市：其他:第二種商業區,,,1090914,土地1建物1車位2,二十八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090221,241.56,4,2,2,有,有,24290000,115644,坡道平面,60.92,3400000,,RPQNMLTJJIPFFBJ98DA,105.43,6.01,10.02,有
