編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLMIIPFFBJ38DA,12,83.30,住家用,鋼筋混凝土造,97年6月27日,十四層,五層
RPQNMLLMIIPFFBJ38DA,12,.01,見其他登記事項,鋼筋混凝土造,97年6月27日,十四層,一層
RPQNMLLMIIPFFBJ38DA,12,19.31,共有部分,鋼筋混凝土造,97年6月27日,十四層,
RPQNMLLMIIPFFBJ38DA,12,28.83,共有部分,鋼筋混凝土造,97年6月27日,十四層,
RPQNMLLMIIPFFBJ38DA,12,16.83,共有部分,鋼筋混凝土造,97年6月27日,14,
RPRTMLLKRHPFFBJ07DA,,71.18,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,八層
RPRTMLLKRHPFFBJ07DA,,8.84,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
RPRTMLLKRHPFFBJ07DA,,13.20,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
RPRTMLLKRHPFFBJ07DA,,46.73,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
RPOTMLQJJIPFFBJ09DA,21,117.92,住家用,鋼筋混凝土造,88年7月23日,十二層,十層
RPOTMLQJJIPFFBJ09DA,21,37.29,共有部分,鋼筋混凝土造,88年7月23日,十二層,
RPOTMLQJJIPFFBJ09DA,21,17.34,共有部分,鋼筋混凝土造,88年7月23日,十二層,
RPXRMLOLRHPFFBJ87DA,,41.80,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,三層
RPXRMLOLRHPFFBJ87DA,,77.62,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,三層
RPXRMLOLRHPFFBJ87DA,,5.10,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
RPXRMLOLRHPFFBJ87DA,,9.48,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
RPXRMLOLRHPFFBJ87DA,,7.62,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
RPXRMLOLRHPFFBJ87DA,,14.15,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
RPXRMLOLRHPFFBJ87DA,,31.06,見其他登記事項,鋼筋混凝土造,109年7月2日,十五層,
