編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLLMIIPFFBJ38DA,站前段,14.73,都市：其他:第三種商業區,持分移轉
RPRTMLLKRHPFFBJ07DA,自強段,21.56,都市：其他:第一種住宅區,持分移轉
RPOTMLQJJIPFFBJ09DA,豆子埔段,21.13,都市：其他:第二種住宅區,持分移轉
RPRNMLQJJIPFFBJ78DA,舊港段漁寮小段,1140.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPXRMLOLRHPFFBJ87DA,自強段,13.10,都市：其他:第一種住宅區,持分移轉
RPXRMLOLRHPFFBJ87DA,自強段,24.25,都市：其他:第一種住宅區,持分移轉
RPPNMLRJJIPFFBJ68DA,莊敬段,15.50,都市：其他:第二種商業區,持分移轉
RPUQMLMJRHPFFBJ07DA,莊敬段,6.39,都市：其他:第二種商業區,持分移轉
RPUQMLMJRHPFFBJ07DA,莊敬段,6.39,都市：其他:第二種商業區,持分移轉
RPQNMLRJJIPFFBJ78DA,莊敬段,16.66,都市：其他:第二種商業區,持分移轉
RPRNMLRJJIPFFBJ88DA,莊敬段,16.66,都市：其他:第二種商業區,持分移轉
RPSNMLRJJIPFFBJ98DA,莊敬段,12.40,都市：其他:第二種商業區,持分移轉
RPPNMLTJJIPFFBJ88DA,莊敬段,16.66,都市：其他:第二種商業區,持分移轉
RPQNMLTJJIPFFBJ98DA,莊敬段,16.66,都市：其他:第二種商業區,持分移轉
RPUTMLTJJIPFFBJ37DA,縣福段,6.45,都市：其他:第二種商業區,持分移轉
RPOPMLLLRHPFFBJ09DA,自強段,36.94,都市：其他:第一種住宅區,持分移轉
RPOOMLLLRHPFFBJ98DA,自強段,27.60,都市：其他:第一種住宅區,持分移轉
RPTPMLNJRHPFFBJ96DA,永興段,861.97,都市：其他:住宅區,全筆移轉
RPSQMLTJJIPFFBJ86DA,隘興段,20.90,都市：其他:第一種商業區,持分移轉
