鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,建物,新竹縣竹北市中華路331~360號,0.0,住,,,1090924,土地0建物1車位1,十二層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850703,37.4,1,1,1,有,無,有,7000,187,坡道機械,0.0,0,,RPRQMLNKIIPFFBJ88CC
芎林鄉,土地,上德段271~300地號,240.84,住,,,1091001,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,72250,300,,0.0,0,,RPPOMLNKIIPFFCJ58CC
湖口鄉,建物,新竹縣湖口鄉榮光一路151~180號,0.0,,鄉村區,乙種建築用地,1091013,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1040821,20.27,1,0,1,有,有,有,5500,271,,0.0,0,續租。;此為分租套房，房號403，第四層共分成3間，陽台總面積占9分之1，一間平均面積約20.27平方公尺,RPXNMLNKIIPFFDJ76CC
竹北市,建物,新竹縣竹北市勝利一路151~180號,0.0,商,,,1090925,土地0建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,0941114,99.91,0,2,1,有,有,無,45000,450,坡道平面,32.73,0,含增建或未登記建物。;,RPWNMLPKIIPFFBJ66CC
新埔鎮,建物,新竹縣新埔鎮田新路151~180號,0.0,商,,,1090925,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081216,147.11,2,2,2,有,有,有,19000,129,坡道平面,28.33,0,,RPOPMLPKIIPFFBJ68CC
竹北市,建物,新竹縣竹北市文義街271~300號,0.0,住,,,1090928,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081005,267.38,0,1,1,有,無,有,28500,107,坡道平面,15.8,0,房屋用途做辦公室使用。租賃期間含免租金裝潢期。,RPUQMLPKIIPFFBJ76CC
湖口鄉,建物,新竹縣湖口鄉工業一路1~30號,0.0,,工業區,丁種建築用地,1091001,土地0建物1車位0,三層,5,工廠,見其他登記事項,鋼筋混凝土造,0931030,1000.0,0,0,0,無,有,無,181800,,,0.0,0,,RPWNMLTKIIPFFDJ27CC
湖口鄉,土地,波羅段301~330地號,2314.0,,特定農業區,農牧用地,1091008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,260000,112,,0.0,0,含增建或未登記建物。;,RPPOMLTKIIPFFDJ66CC
湖口鄉,土地,成功段751~780地號,1655.0,,特定農業區,農牧用地,1091008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,175000,106,,0.0,0,含增建或未登記建物。;,RPQOMLTKIIPFFDJ76CC
湖口鄉,建物,新竹縣湖口鄉榮光一路181~210號,0.0,,鄉村區,乙種建築用地,1091016,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1040821,20.75,1,0,1,有,有,有,5000,241,,0.0,0,此為分租套房，房號203，第二層共分成3間，陽台總面積占9分之1，一間平均面積約20.75平方公尺,RPROMLTKIIPFFDJ96DC
竹北市,建物,新竹縣竹北市六家七路61~90號,0.0,住,,,1090930,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970927,105.28,1,2,1,有,有,有,16500,157,坡道機械,0.0,0,,RPXPMLKLIIPFFBJ56CC
