編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUQMLPKIIPFFBJ76CC,1,185.20,住家用,鋼筋混凝土造,108年10月5日,五層,
RPUQMLPKIIPFFBJ76CC,1,82.18,見其他登記事項,鋼筋混凝土造,108年10月5日,五層,
RPRQMLNKIIPFFBJ88CC,24,28.12,住家用,鋼筋混凝土造,85年7月3日,十三層,
RPRQMLNKIIPFFBJ88CC,24,2.62,共用部分,鋼筋混凝土造,85年7月3日,十三層,
RPRQMLNKIIPFFBJ88CC,24,6.66,共用部分,鋼筋混凝土造,85年7月3日,十三層,
RPROMLTKIIPFFDJ96DC,5,20.75,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPXNMLNKIIPFFDJ76CC,5,20.27,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPWNMLTKIIPFFDJ27CC,16,1000.00,見其他登記事項,鋼筋混凝土造,93年10月30日,五層,
RPOPMLPKIIPFFBJ68CC,1,85.52,住家用,鋼筋混凝土造,108年12月16日,十四層,
RPOPMLPKIIPFFBJ68CC,1,44.90,見其他登記事項,鋼筋混凝土造,108年12月16日,十四層,
RPOPMLPKIIPFFBJ68CC,1,16.69,見其他登記事項,鋼筋混凝土造,108年12月16日,十四層,
RPWNMLPKIIPFFBJ66CC,15,50.54,商業用,鋼筋混凝土造,94年11月14日,十五層,
RPWNMLPKIIPFFBJ66CC,15,38.74,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPWNMLPKIIPFFBJ66CC,15,10.63,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPXPMLKLIIPFFBJ56CC,12,61.12,住家用,鋼筋混凝土造,97年9月27日,十四層,
RPXPMLKLIIPFFBJ56CC,12,18.35,共用部分,鋼筋混凝土造,97年9月27日,十四層,
RPXPMLKLIIPFFBJ56CC,12,25.77,共用部分,鋼筋混凝土造,97年9月27日,十四層,
RPXPMLKLIIPFFBJ56CC,12,.04,見其他登記事項,鋼筋混凝土造,97年9月27日,十四層,
