編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUQMLPKIIPFFBJ76CC,翰林段,.00,都市：住,全筆移轉
RPQOMLTKIIPFFDJ76CC,成功段,1655.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRQMLNKIIPFFBJ88CC,站後段,.00,都市：住,全筆移轉
RPRQMLNKIIPFFBJ88CC,站後段,.00,都市：住,全筆移轉
RPPOMLTKIIPFFDJ66CC,波羅段,2314.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPPOMLNKIIPFFCJ58CC,上德段,40.63,都市：住,全筆移轉
RPPOMLNKIIPFFCJ58CC,上德段,104.91,都市：住,全筆移轉
RPPOMLNKIIPFFCJ58CC,上德段,40.63,都市：住,全筆移轉
RPPOMLNKIIPFFCJ58CC,上德段,54.67,都市：住,全筆移轉
RPROMLTKIIPFFDJ96DC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXNMLNKIIPFFDJ76CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPWNMLTKIIPFFDJ27CC,中興段新興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPOPMLPKIIPFFBJ68CC,福田段,.00,都市：商,全筆移轉
RPWNMLPKIIPFFBJ66CC,大學段,.00,都市：商,全筆移轉
RPXPMLKLIIPFFBJ56CC,家興段,.00,都市：住,全筆移轉
