鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
名間鄉,土地,番子寮段601~630地號,702.0,,特定農業區,農牧用地,1090919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,712,,0.0,0,,RPVOMLSJIIPFFAM96DA,0.0,0.0,0.0,無
南投市,房地(土地+建物),彰南路二段481~510號,112.0,都市：其他:住宅區,,,1090731,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680426,135.6,4,2,2,有,無,7800000,57522,,0.0,0,,RPSNMLPJJIPFFAM98DA,135.6,0.0,0.0,無
名間鄉,土地,名松段751~780地號,3431.2,,一般農業區,農牧用地,1091016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4248000,1238,,0.0,0,袋地,RPRNMLTJJIPFFAM66DA,0.0,0.0,0.0,無
南投市,土地,內興段361~390地號,105.1,,鄉村區,乙種建築用地,1091026,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1771879,16859,,0.0,0,,RPSNMLTJJIPFFAM76DA,0.0,0.0,0.0,無
南投市,房地(土地+建物),祖祠路40巷1~30號,85.0,都市：其他:住宅區,,,1090909,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721024,96.16,3,1,1,有,無,2800000,29118,,0.0,0,,RPVNMLTJJIPFFAM07DA,96.16,0.0,0.0,無
草屯鎮,土地,土城段211~240地號,1221.86,,特定農業區,農牧用地,1090826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,3928,,0.0,0,,RPTNMLPJJIPFFBM56DA,0.0,0.0,0.0,無
草屯鎮,土地,北投埔段1381~1410地號,300.0,,特定農業區,農牧用地,1090831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,3000,,0.0,0,,RPPNMLTJJIPFFBM56DA,0.0,0.0,0.0,無
國姓鄉,土地,水長流段121~150地號,623.1,,特定農業區,農牧用地,1090930,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2460000,3948,,0.0,0,未登記建物;農作物;,RPRNMLPJIIPFFCM98DA,0.0,0.0,0.0,無
埔里鎮,土地,西塔山段1~30地號,3635.0,,山坡地保育區,農牧用地,1091006,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,880,,0.0,0,農業設施;,RPXNMLNJJIPFFCM86DA,0.0,0.0,0.0,無
埔里鎮,房地(土地+建物),英六街1~30號,75.66,都市：其他:住宅區,,,1091003,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0741223,99.3,4,2,2,有,無,6750000,67976,,0.0,0,頂樓加蓋;其他增建;,RPQNMLOJJIPFFCM88DA,99.3,0.0,0.0,無
魚池鄉,土地,貓,9282.0,,山坡地保育區,農牧用地,1080815,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,539,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;未登記建物;,RPTNMLMJJIPFFCM98DA,0.0,0.0,0.0,無
埔里鎮,土地,東埔段811~840地號,773.16,,山坡地保育區,暫未編定,1091103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,4527,,0.0,0,,RPSOMLPJJIPFFCM66DA,0.0,0.0,0.0,無
竹山鎮,房地(土地+建物),鯉南路41之1巷1~30號,120.96,,,,1090915,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081119,201.13,5,3,6,有,無,8300000,41267,,0.0,0,,RPUNMLPJJIPFFDM86DA,189.63,0.0,11.5,無
竹山鎮,土地,保生段481~510地號,1816.1,,山坡地保育區,農牧用地,1091102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3180000,1751,,0.0,0,農作物;,RPXNMLPJJIPFFDM17DA,0.0,0.0,0.0,無
竹山鎮,房地(土地+建物),鯉南路41之1巷1~30號,112.56,,,,1090926,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1081119,200.04,5,3,6,有,無,8120000,40592,,0.0,0,,RPOOMLPJJIPFFDM98DA,188.54,0.0,11.5,無
竹山鎮,房地(土地+建物),大忠路91~120號,86.0,都市：其他:住宅區,,,1091020,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0960702,158.14,4,3,3,有,無,8800000,55647,,0.0,0,,RPPNMLTJJIPFFDM76DA,141.68,2.13,14.33,無
