編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLPJJIPFFAM98DA,41,135.60,住商用,鋼筋混凝土加強磚造,68年4月26日,二層,一層 二層 騎樓
RPVNMLTJJIPFFAM07DA,37,48.08,住家用,鋼筋混凝土加強磚造,72年10月24日,二層,一層 二層
RPVNMLTJJIPFFAM07DA,37,48.08,住家用,鋼筋混凝土加強磚造,72年10月24日,二層,一層 二層
RPQNMLOJJIPFFCM88DA,35,99.30,住商用,鋼筋混凝土造,74年12月23日,二層,一層 二層 騎樓
RPPNMLTJJIPFFDM76DA,13,158.14,住商用,鋼筋混凝土造,96年7月2日,四層,一層 二層 三層 四層 騎樓
RPOOMLPJJIPFFDM98DA,1,200.04,住家用,鋼筋混凝土造,108年11月19日,四層,一層 二層 三層 四層
RPUNMLPJJIPFFDM86DA,1,201.13,住家用,鋼筋混凝土造,108年11月19日,四層,一層 二層 三層 四層
RPSNMLTJJIPFFDM07DA,,93.90,住家用,磚造,59年0月0日,一層,一層
RPWNMLPJJIPFFCM96DA,38,165.90,住家用,加強磚造,71年12月16日,二層,一層 二層
RPPNMLKKJIPFFDM58DA,32,177.84,住家用,鋼筋混凝土造,77年8月9日,三層,一層 二層 三層
RPUNMLTJJIPFFBM07DA,36,211.13,住家用,鋼筋混凝土加強磚造,73年8月30日,二層,一層 二層 屋頂突出物
RPRNMLKKJIPFFBM68EA,26,9.68,見其他登記事項,鋼筋混凝土造,83年11月7日,十三層,
RPRNMLKKJIPFFBM68EA,26,9.68,見其他登記事項,鋼筋混凝土造,83年11月7日,十三層,
RPRNMLKKJIPFFBM68EA,26,29.56,住家用,鋼筋混凝土造,83年11月7日,十三層,十一層
RPRNMLKKJIPFFBM68EA,26,29.56,住家用,鋼筋混凝土造,83年11月7日,十三層,十一層
RPUNMLPJJIPFFCM76DA,44,71.02,見其他登記事項,見其他登記事項,65年7月27日,二層,一層 二層
RPQNMLPJJIPFFCM98DA,1,238.29,住家用,見其他登記事項,108年12月27日,四層,一層 二層 三層 四層
RPSNMLOJJIPFFCM09DA,40,108.37,住商用,加強磚造,69年8月18日,二層,一層 二層 騎樓
RPUNMLQKIIPFFBM76DA,,211.40,見其他登記事項,鋼筋混凝土造,109年8月11日,三層,一層 二層 三層 見其他登記事項
RPRNMLLLIIPFFCM78DA,27,81.78,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,五層
RPRNMLLLIIPFFCM78DA,27,20.96,見其他登記事項,鋼筋混凝土造,83年1月14日,十一層,
RPVNMLKKJIPFFAM88DA,28,66.22,住家用,鋼筋混凝土造,82年3月22日,八層,五層
RPVNMLKKJIPFFAM88DA,28,17.83,見其他登記事項,鋼筋混凝土造,82年3月22日,八層,
RPRNMLTLIIPFFBM86DA,37,100.80,住家用,鋼筋混凝土造,72年4月12日,四層,二層
RPRNMLTLIIPFFBM86DA,37,5.40,國民住宅,鋼筋混凝土造,72年4月12日,四層,
RPRNMLTLIIPFFBM86DA,37,1.68,國民住宅,鋼筋混凝土造,72年4月12日,四層,
RPRNMLTLIIPFFBM86DA,37,.84,國民住宅,鋼筋混凝土造,72年4月12日,四層,
RPPOMLQKIIPFFBM98DA,,103.00,見其他登記事項,鋼筋混凝土造,109年8月11日,三層,一層 二層 三層 見其他登記事項
RPPOMLQKIIPFFBM98DA,,103.00,見其他登記事項,鋼筋混凝土造,109年8月11日,三層,一層 二層 三層 見其他登記事項
RPTNMLOKIIPFFAM98DA,,198.87,見其他登記事項,鋼筋混凝土造,109年7月1日,三層,一層 二層 三層 屋頂突出物
RPPNMLKKJIPFFAM28DA,26,155.25,住商用,鋼筋混凝土造,83年7月19日,三層,一層 二層 三層
RPOOMLKKJIPFFAM28DA,25,150.15,住家用,鋼筋混凝土造,84年6月15日,三層,一層 二層 三層 屋頂突出物
RPXNMLOJJIPFFAM76DA,39,127.81,住商用,加強磚造,70年5月6日,二層,一層 二層 騎樓
