鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
花蓮市,房地(土地+建物)+車位,富裕七街1~30號,16.69,,,,1091002,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090108,98.13,2,1,1,有,有,6150000,62672,坡道平面,0.91,0,本車位由全體住戶持分目前畫成機車停車位使用,RPOOMLOJJIPFFAU76DA,56.14,0.0,3.54,有
花蓮市,房地(土地+建物),東興二街151~180號,38.54,都市：其他:住宅區,,,1091004,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911202,175.19,3,2,2,有,有,6080000,34705,,0.0,0,,RPSOMLPJJIPFFAU27DA,100.57,0.0,10.85,有
花蓮市,土地,林森段1621~1650地號,233.0,住,,,1091016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15800000,67811,,0.0,0,,RPQPMLPJJIPFFAU17DA,0.0,0.0,0.0,無
新城鄉,房地(土地+建物),康樂一街119巷3弄1~30號,92.16,,一般農業區,甲種建築用地,1090923,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0750118,79.28,2,1,1,有,無,2900000,36579,,0.0,0,,RPTNMLQJJIPFFAU37DA,79.28,0.0,0.0,無
花蓮市,房地(土地+建物)+車位,林森路273巷3弄1~30號,111.44,住,,,1090919,土地1建物1車位1,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1070524,288.28,4,2,5,有,無,19000000,65908,一樓平面,0.0,0,賣方贈送裝潢及家俱、家電等合計新台幣參拾萬元整。,RPTOMLQJJIPFFAU47DA,257.28,0.0,9.56,有
新城鄉,土地,嘉新段301~330地號,99.0,都市：其他:住宅區(都市更新地區),,,1090929,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,18182,,0.0,0,未登記建物;,RPVNMLTJJIPFFAU87DA,0.0,0.0,0.0,無
花蓮市,房地(土地+建物),南京街61~90號,17.3,都市：其他:商業區,,,1090923,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090730,65.19,2,2,2,有,有,4420000,67802,,0.0,0,其他增建;,RPROMLTJJIPFFAU57DA,47.37,0.0,4.31,有
花蓮市,房地(土地+建物),建和街25巷1~30號,75.98,都市：其他:住宅區,,,1091015,土地6建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0830929,167.06,4,2,3,有,無,5600000,33521,,0.0,0,,RPQNMLNJJIPFFAU76DA,151.94,6.35,8.77,無
秀林鄉,土地,上崇德段721~750地號,200.76,都市：其他:住宅區,,,1090811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,668028,3327,,0.0,0,,RPOPMLKKJIPFFAU56DA,0.0,0.0,0.0,無
