編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLOJJIPFFAU76DA,1,59.68,見其他登記事項,鋼筋混凝土造,109年1月8日,七層,七層
RPOOMLOJJIPFFAU76DA,1,37.53,見其他登記事項,鋼筋混凝土造,109年1月8日,七層,
RPOOMLOJJIPFFAU76DA,1,.91,見其他登記事項,鋼筋混凝土造,109年1月8日,七層,
RPTOMLQJJIPFFAU47DA,2,266.84,見其他登記事項,鋼筋混凝土造,107年5月24日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPTOMLQJJIPFFAU47DA,2,21.44,見其他登記事項,鋼筋混凝土造,107年5月24日,五層,
RPTNMLQJJIPFFAU37DA,35,79.28,住家用,鋼筋混凝土加強磚造,75年1月18日,二層,一層 二層
RPSOMLPJJIPFFAU27DA,18,111.42,住家用,鋼筋混凝土造,91年12月2日,十三層,五層
RPSOMLPJJIPFFAU27DA,18,63.77,共有部份,鋼筋混凝土造,91年12月2日,十三層,
RPQNMLNJJIPFFAU76DA,26,83.53,見其他登記事項,鋼筋混凝土造,83年9月29日,四層,一層 二層 三層 四層 屋頂突出物
RPQNMLNJJIPFFAU76DA,26,83.53,見其他登記事項,鋼筋混凝土造,83年9月29日,四層,一層 二層 三層 四層 屋頂突出物
RPXOMLKKJIPFFAU37DA,1,164.89,住家用,鋼筋混凝土造,108年6月20日,三層,一層 二層 三層 屋頂突出物
RPTOMLKKJIPFFAU96DA,28,73.50,商業用,鋼筋混凝土造,81年8月26日,五層,一層
RPTOMLKKJIPFFAU96DA,28,9.99,共有部份,鋼筋混凝土造,81年8月26日,五層,
RPROMLKKJIPFFAU76DA,22,260.21,住商用,鋼筋混凝土造,87年4月30日,四層,一層 二層 三層 四層 騎樓
RPROMLTJJIPFFAU57DA,,25.84,見其他登記事項,鋼筋混凝土造,109年7月30日,五層,三層
