編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQPMLPJJIPFFAU17DA,林森段,233.00,都市：住,全筆移轉
RPOOMLOJJIPFFAU76DA,裕民段,16.69,非都市： ; 非都市編定：,持分移轉
RPTOMLQJJIPFFAU47DA,林森段,111.44,都市：住,持分移轉
RPTNMLQJJIPFFAU37DA,廣安段,92.16,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSOMLPJJIPFFAU27DA,民孝段,38.54,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,8.93,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,8.93,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,19.00,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,19.00,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,5.57,都市：其他:道路用地,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,5.57,都市：其他:道路用地,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,1.47,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,1.47,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,.87,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,.87,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,2.14,都市：其他:住宅區,持分移轉
RPQNMLNJJIPFFAU76DA,碧雲段,2.14,都市：其他:住宅區,持分移轉
RPVNMLTJJIPFFAU87DA,嘉新段,88.00,都市：其他:住宅區(都市更新地區),全筆移轉
RPVNMLTJJIPFFAU87DA,嘉新段,11.00,都市：其他:住宅區(都市更新地區),全筆移轉
RPRPMLKKJIPFFAU86DA,德安段,246.00,都市：其他:學校用地,全筆移轉
RPOPMLKKJIPFFAU56DA,上崇德段,200.76,都市：其他:住宅區,持分移轉
RPRNMLTJJIPFFCU67DA,馬里旺段,42.79,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPRNMLTJJIPFFCU67DA,馬里旺段,2934.03,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
