鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉志學村志光街20巷1~30號,265.25,住,,,1091001,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,07405,18.96,1,1,1,有,無,有,11000,580,,0.0,0,,RPRNMLMKIIPFFAU86CC
花蓮市,土地,明義段301~330地號,17.0,住,,,1091004,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,12000,706,,0.0,0,含增建或未登記建物。;,RPSOMLMKIIPFFAU07CC
新城鄉,建物,花蓮縣新城鄉民族路61~90號,0.0,商,,,1091007,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060731,23.53,1,0,1,有,無,有,9500,404,,0.0,0,,RPOOMLNKIIPFFAU76CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明義6街89巷1~30號,42.59,,鄉村區,乙種建築用地,1090929,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0670411,35.71,3,2,1,有,無,有,9000,252,,0.0,0,,RPTNMLNKIIPFFAU27DC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路645巷42弄1~30號,134.0,,特定農業區,交通用地,1090914,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0920516,274.54,5,2,4,有,無,有,28000,102,,0.0,0,,RPTOMLOKIIPFFAU37CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶豐十四街121~150號,56.16,,特定農業區,甲種建築用地,1091008,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1040824,133.77,2,2,2,有,無,有,16000,120,,0.0,0,,RPTNMLTKIIPFFAU77CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶豐十四街121~150號,56.16,,特定農業區,甲種建築用地,1091009,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1040824,100.09,3,0,3,有,無,有,16000,160,,0.0,0,,RPWNMLTKIIPFFAU08CC
花蓮市,房地(土地+建物),花蓮縣花蓮市德安二街68巷31~60號,17.35,住,,,1091015,土地1建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841104,94.22999999999999,3,1,2,有,有,有,11000,117,,0.0,0,,RPXNMLTKIIPFFAU18CC
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路181~210號,74.0,商,,,1091013,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0771215,301.62,0,0,0,無,無,無,30000,99,,0.0,0,,RPWOMLTKIIPFFAU28DC
花蓮市,房地(土地+建物),花蓮縣花蓮市復興街31~60號,61.0,商,,,1091016,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0680504,134.87,3,1,3,有,無,有,16000,119,,0.0,0,,RPOOMLKLIIPFFAU56CC
