編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLNKIIPFFAU76CC,3,23.53,住家用,鋼筋混凝土造,106年7月31日,五層,
RPTNMLNKIIPFFAU27DC,42,35.71,住家用,鋼筋混凝土加強磚造,67年4月11日,一層,
RPXNMLTKIIPFFAU18CC,25,68.46,住家用,鋼筋混凝土造,84年11月4日,十層,
RPXNMLTKIIPFFAU18CC,25,10.26,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPXNMLTKIIPFFAU18CC,25,15.51,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPWNMLTKIIPFFAU08CC,5,100.09,住家用,鋼筋混凝土造,104年8月24日,四層,
RPTNMLTKIIPFFAU77CC,5,133.77,住家用,鋼筋混凝土造,104年8月24日,四層,
RPOOMLKLIIPFFAU56CC,41,134.87,住商用,鋼筋混凝土造,68年5月4日,三層,
RPWOMLTKIIPFFAU28DC,32,301.62,住商用,鋼筋混凝土造,77年12月15日,四層,
RPRNMLMKIIPFFAU86CC,35,18.96,住家用,加強磚造,,一層,
RPTOMLOKIIPFFAU37CC,17,274.54,住家用,鋼筋混凝土造,92年5月16日,四層,
