編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLNKIIPFFAU76CC,嘉南段,.00,都市：商,全筆移轉
RPTNMLNKIIPFFAU27DC,永安段,42.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXNMLTKIIPFFAU18CC,德安段,17.35,都市：住,全筆移轉
RPWNMLTKIIPFFAU08CC,福吉段,56.16,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSOMLMKIIPFFAU07CC,明義段,17.00,都市：住,全筆移轉
RPTNMLTKIIPFFAU77CC,福吉段,56.16,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPOOMLKLIIPFFAU56CC,北濱段,61.00,都市：商,全筆移轉
RPWOMLTKIIPFFAU28DC,明義段,74.00,都市：商,全筆移轉
RPRNMLMKIIPFFAU86CC,東華段,265.25,都市：住,全筆移轉
RPTOMLOKIIPFFAU37CC,南埔段,134.00,非都市：特定農業區 ; 非都市編定：交通用地,全筆移轉
