鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
台東市,土地,台東段631~660地號,185.0,都市：其他:住宅區,,,1090928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,32432,,0.0,0,未登記建物;未登記建物;,RPTOMLSLRHPFFAV68DA,0.0,0.0,0.0,無
台東市,土地,台東段1~30地號,6.0,都市：其他:住宅區,,,1091028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,33333,,0.0,0,畸零地或有合併使用效益;,RPQNMLQJJIPFFAV17DA,0.0,0.0,0.0,無
台東市,土地,青林段301~330地號,396.93,都市：其他:住宅區,,,1091002,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5042940,12705,,0.0,0,,RPOOMLTJJIPFFAV37DA,0.0,0.0,0.0,無
鹿野鄉,土地,龍田段451~480地號,4924.72,都市：其他:農業區,,,1090926,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8580000,1742,,0.0,0,,RPRNMLTJJIPFFCV77DA,0.0,0.0,0.0,無
池上鄉,土地,新興段61~90地號,5193.02,,特定農業區,農牧用地,1091022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5193000,1000,,0.0,0,未另訂定私契親友、員工、共有人或其他特殊關係間之交易;,RPTNMLTJJIPFFCV97DA,0.0,0.0,0.0,無
太麻里鄉,房地(土地+建物),龍泉路31~60號,16.73,都市：其他:出租旅館區,,,1091012,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821108,96.6,2,1,1,有,有,1100000,11387,,0.0,0,,RPRNMLOJJIPFFDV37DA,62.79,0.0,6.32,有
池上鄉,土地,福文段931~960地號,21.95,都市：其他:住宅區,,,1091022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,377540,17200,,0.0,0,政府機關標讓售;,RPPNMLKKJIPFFCV86EA,0.0,0.0,0.0,無
達仁鄉,土地,達人段481~510地號,17.39,,山坡地保育區,交通用地,1090925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000,403,,0.0,0,協議價購;,RPPNMLTJJIPFFDV77EA,0.0,0.0,0.0,無
鹿野鄉,土地,新源段91~120地號,8564.73,,一般農業區,農牧用地,1091030,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5395000,630,,0.0,0,,RPPNMLLKJIPFFCV86DA,0.0,0.0,0.0,無
池上鄉,土地,大池段151~180地號,2169.62,,風景區,農牧用地,1090818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14800000,6821,,0.0,0,交易價格包含買賣登記案件32960號未登記建物;,RPPNMLTJJIPFFCV57DA,0.0,0.0,0.0,無
卑南鄉,土地,利家段6931~6960地號,3100.0,,特定農業區,農牧用地,1091029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,1581,,0.0,0,,RPQNMLTJJIPFFAV47DA,0.0,0.0,0.0,無
台東市,土地,青林段301~330地號,460.1,都市：其他:住宅區,,,1091002,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5845560,12705,,0.0,0,未登記建物;,RPPNMLKKJIPFFAV56DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),中正路31~60號,86.0,都市：其他:住宅區,,,1091026,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740318,114.03,4,2,2,有,無,8000000,70157,,0.0,0,,RPQNMLMJJIPFFAV76DA,107.07,0.0,6.96,無
台東市,房地(土地+建物),中興路三段275巷1~30號,107.17,,,,1091020,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090804,209.22,5,2,5,有,無,10700000,51142,,0.0,0,,RPUNMLMJJIPFFAV17DA,200.36,8.86,0.0,無
台東市,房地(土地+建物),寧夏街151~180號,97.12,都市：其他:住宅區,,,1090924,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1080905,177.49,5,2,5,有,無,9100000,51270,,0.0,0,,RPSQMLOJJIPFFAV47DA,162.15,15.34,0.0,無
台東市,房地(土地+建物),中華路二段214巷17弄1~30號,93.0,都市：其他:道路用地,,,1090903,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0601220,58.46,2,1,1,有,無,3380000,57817,,0.0,0,,RPTQMLOJJIPFFAV57DA,58.46,0.0,0.0,無
台東市,土地,豐樂段2881~2910地號,1060.0,,特定農業區,農牧用地,1091007,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2750000,2594,,0.0,0,,RPPOMLKLIIPFFAV66DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),中華路二段111巷22弄1~30號,96.9,都市：其他:住宅區,,,1081014,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090707,182.55,4,2,3,有,無,10300000,56423,,0.0,0,,RPPNMLQLQHPFFAV87DA,165.75,16.8,0.0,無
台東市,房地(土地+建物),中華路二段111巷22弄1~30號,92.15,,,,1080804,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090707,182.35,4,2,5,有,無,10100000,55388,,0.0,0,,RPQNMLQLQHPFFAV97DA,165.12,17.23,0.0,無
台東市,房地(土地+建物),中華路二段111巷22弄1~30號,92.33,,,,1080822,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090707,185.19,4,2,5,有,無,10250000,55349,,0.0,0,,RPTOMLKKJIPFFAV07DA,169.0,16.19,0.0,無
關山鎮,土地,北庄段541~570地號,18900.18,,一般農業區,農牧用地,1091014,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16800000,889,,0.0,0,,RPQNMLKKJIPFFCV86DA,0.0,0.0,0.0,無
達仁鄉,土地,達人段481~510地號,17.39,,山坡地保育區,交通用地,1090925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000,403,,0.0,0,協議價購;,RPQNMLTJJIPFFDV87EA,0.0,0.0,0.0,無
太麻里鄉,房地(土地+建物),龍泉路53巷1~30號,8.08,都市：其他:道路用地,,,1091028,土地2建物1車位0,七層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0830930,36.99,1,0,1,有,有,800000,21627,,0.0,0,,RPUNMLTJJIPFFDV18DA,27.74,0.0,3.8,有
池上鄉,土地,萬福段721~750地號,5944.85,,特定農業區,農牧用地,1091027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,1346,,0.0,0,,RPPNMLMKJIPFFCV96DA,0.0,0.0,0.0,無
達仁鄉,土地,達人段481~510地號,17.39,,山坡地保育區,交通用地,1090925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000,403,,0.0,0,協議價購;,RPRNMLTJJIPFFDV97EA,0.0,0.0,0.0,無
池上鄉,土地,慶豐段1261~1290地號,533.48,,鄉村區,乙種建築用地,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1390100,2606,,0.0,0,地清或未辦繼承標售;,RPQNMLTJJIPFFCV67DA,0.0,0.0,0.0,無
台東市,土地,豐嘉段91~120地號,335.34,,特定農業區,農牧用地,1091015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,291250,869,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTNMLLKJIPFFAV07DA,0.0,0.0,0.0,無
台東市,土地,合江段241~270地號,2514.44,,風景區,農牧用地,1091027,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,1074,,0.0,0,,RPUNMLLKJIPFFAV17DA,0.0,0.0,0.0,無
