編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLOJJIPFFDV37DA,27,69.11,見其他登記事項,鋼筋混凝土造,82年11月8日,八層,二層
RPRNMLOJJIPFFDV37DA,27,27.49,見其他登記事項,鋼筋混凝土造,82年11月8日,八層,
RPTQMLOJJIPFFAV57DA,49,58.46,住家用,見其他登記事項,60年12月20日,一層,一層 騎樓
RPUNMLMJJIPFFAV17DA,,209.22,見其他登記事項,鋼筋混凝土造,109年8月4日,三層,一層 二層 三層 見其他登記事項
RPSQMLOJJIPFFAV47DA,1,177.49,見其他登記事項,見其他登記事項,108年9月5日,三層,一層 二層 三層
RPQNMLMJJIPFFAV76DA,36,114.03,住家用,加強磚造,74年3月18日,二層,一層 二層 騎樓
RPPNMLQLQHPFFAV87DA,,182.55,見其他登記事項,鋼筋混凝土造,109年7月7日,三層,一層 二層 三層 見其他登記事項
RPQNMLQLQHPFFAV97DA,,182.35,見其他登記事項,鋼筋混凝土造,109年7月7日,三層,一層 二層 三層 見其他登記事項
RPUNMLTJJIPFFDV18DA,26,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,七層
RPUNMLTJJIPFFDV18DA,26,5.45,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPSOMLNJJIPFFAV17DA,,98.15,見其他登記事項,見其他登記事項,109年8月18日,五層,三層
RPSOMLNJJIPFFAV17DA,,21.05,見其他登記事項,見其他登記事項,109年8月18日,五層,
RPQPMLKKJIPFFAV86DA,27,142.45,住家用,鋼筋混凝土造,82年10月13日,三層,一層 二層 三層
RPTOMLKKJIPFFAV07DA,,92.60,見其他登記事項,鋼筋混凝土造,109年7月7日,三層,一層 二層 三層 見其他登記事項
RPTOMLKKJIPFFAV07DA,,92.60,見其他登記事項,鋼筋混凝土造,109年7月7日,三層,一層 二層 三層 見其他登記事項
RPPQMLNJJIPFFAV07DA,24,5.40,見其他登記事項,鋼筋混凝土造,85年11月13日,七層,
RPPQMLNJJIPFFAV07DA,24,8.54,見其他登記事項,鋼筋混凝土造,85年11月13日,七層,
RPPQMLNJJIPFFAV07DA,24,22.89,見其他登記事項,鋼筋混凝土造,85年11月13日,七層,四層
RPQQMLNJJIPFFAV17DA,24,5.07,見其他登記事項,鋼筋混凝土造,85年11月13日,七層,
RPQQMLNJJIPFFAV17DA,24,8.01,見其他登記事項,鋼筋混凝土造,85年11月13日,七層,
RPQQMLNJJIPFFAV17DA,24,21.49,見其他登記事項,鋼筋混凝土造,85年11月13日,七層,四層
RPSNMLKMRHPFFCV97DA,16,172.00,見其他登記事項,鋼筋混凝土造,94年1月21日,八層,八層
RPSNMLKMRHPFFCV97DA,16,4.90,見其他登記事項,鋼筋混凝土造,94年1月21日,一層,
RPSNMLKMRHPFFCV97DA,16,15.76,見其他登記事項,鋼筋混凝土造,94年1月21日,八層,
RPXNMLKMIIPFFAV47DA,37,84.47,住家用,加強磚造,73年4月3日,二層,一層 二層
RPPNMLKLIIPFFAV56DA,15,82.46,見其他登記事項,鋼筋混凝土造,95年3月10日,十層,
RPPNMLKLIIPFFAV56DA,15,108.36,見其他登記事項,鋼筋混凝土造,95年3月10日,十層,六層
RPTNMLQKJIPFFAV57DA,38,98.74,住家用,加強磚造,71年4月21日,二層,一層 二層
RPTOMLKLIIPFFAV07DA,15,125.20,住家用,鋼筋混凝土造,94年8月29日,二層,一層 二層
RPQOMLLLIIPFFAV86DA,,76.98,見其他登記事項,見其他登記事項,109年8月18日,五層,一層
RPQOMLLLIIPFFAV86DA,,21.05,見其他登記事項,見其他登記事項,109年8月18日,五層,
RPSOMLLLIIPFFAV07DA,,49.08,見其他登記事項,見其他登記事項,109年8月18日,五層,二層
RPSOMLLLIIPFFAV07DA,,49.08,見其他登記事項,見其他登記事項,109年8月18日,五層,二層
RPSOMLLLIIPFFAV07DA,,10.52,見其他登記事項,見其他登記事項,109年8月18日,五層,
RPSOMLLLIIPFFAV07DA,,10.52,見其他登記事項,見其他登記事項,109年8月18日,五層,
RPROMLQLIIPFFAV47DA,41,119.80,住家用,加強磚造,68年7月17日,二層,一層 二層 騎樓
RPQPMLNJJIPFFAV07DA,1,88.40,見其他登記事項,見其他登記事項,109年3月3日,五層,五層
RPQPMLNJJIPFFAV07DA,1,.34,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPQPMLNJJIPFFAV07DA,1,15.22,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPSPMLNJJIPFFAV27DA,1,88.40,見其他登記事項,見其他登記事項,109年3月3日,五層,四層
RPSPMLNJJIPFFAV27DA,1,.34,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPSPMLNJJIPFFAV27DA,1,15.22,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPRPMLNJJIPFFAV17DA,1,88.40,見其他登記事項,見其他登記事項,109年3月3日,五層,三層
RPRPMLNJJIPFFAV17DA,1,.34,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPRPMLNJJIPFFAV17DA,1,15.22,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPVPMLNJJIPFFAV57DA,1,71.53,見其他登記事項,見其他登記事項,109年3月3日,五層,四層
RPVPMLNJJIPFFAV57DA,1,.27,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPVPMLNJJIPFFAV57DA,1,15.21,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPWPMLNJJIPFFAV67DA,1,71.53,見其他登記事項,見其他登記事項,109年3月3日,五層,四層
RPUPMLNJJIPFFAV47DA,1,71.53,見其他登記事項,見其他登記事項,109年3月3日,五層,一層
RPWPMLNJJIPFFAV67DA,1,.27,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPUPMLNJJIPFFAV47DA,1,.27,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPWPMLNJJIPFFAV67DA,1,15.21,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPUPMLNJJIPFFAV47DA,1,15.22,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPTPMLNJJIPFFAV37DA,1,88.40,見其他登記事項,見其他登記事項,109年3月3日,五層,四層
RPTPMLNJJIPFFAV37DA,1,.34,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPTPMLNJJIPFFAV37DA,1,15.22,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPSNMLOJJIPFFAV17DA,,71.57,見其他登記事項,見其他登記事項,109年3月3日,五層,一層
RPSNMLOJJIPFFAV17DA,,.27,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPSNMLOJJIPFFAV17DA,,15.23,見其他登記事項,見其他登記事項,109年3月3日,五層,
