編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLKKJIPFFCV86EA,福文段,21.95,都市：其他:住宅區,全筆移轉
RPPNMLLKJIPFFCV86DA,新源段,2951.30,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPPNMLLKJIPFFCV86DA,新源段,2951.30,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPPNMLLKJIPFFCV86DA,新源段,1331.06,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPPNMLLKJIPFFCV86DA,新源段,1331.06,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPTOMLSLRHPFFAV68DA,台東段,185.00,都市：其他:住宅區,全筆移轉
RPPNMLTJJIPFFDV77EA,達人段,17.39,非都市：山坡地保育區 ; 非都市編定：交通用地,持分移轉
RPTNMLTJJIPFFCV97DA,新興段,5193.02,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPRNMLTJJIPFFCV77DA,龍田段,88.83,都市：其他:住宅區,全筆移轉
RPRNMLTJJIPFFCV77DA,龍田段,9.87,都市：其他:人行步道,全筆移轉
RPRNMLTJJIPFFCV77DA,龍田段,96.79,都市：其他:住宅區,全筆移轉
RPRNMLTJJIPFFCV77DA,龍田段,90.23,都市：其他:住宅區,全筆移轉
RPRNMLTJJIPFFCV77DA,鹿野段,1546.00,都市：其他:農業區,全筆移轉
RPRNMLTJJIPFFCV77DA,鹿野段,1545.00,都市：其他:農業區,全筆移轉
RPRNMLTJJIPFFCV77DA,鹿野段,1548.00,都市：其他:農業區,全筆移轉
RPQNMLTJJIPFFAV47DA,利家段,3100.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLOJJIPFFDV37DA,秀山段,16.73,都市：其他:出租旅館區,持分移轉
RPQNMLQJJIPFFAV17DA,台東段,6.00,都市：其他:住宅區,全筆移轉
RPPNMLTJJIPFFCV57DA,大池段,801.72,非都市：風景區 ; 非都市編定：丙種建築用地,全筆移轉
RPPNMLTJJIPFFCV57DA,大池段,1367.90,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLKKJIPFFAV56DA,青林段,200.60,都市：其他:住宅區,持分移轉
RPPNMLKKJIPFFAV56DA,青林段,200.60,都市：其他:住宅區,持分移轉
RPPNMLKKJIPFFAV56DA,青林段,29.46,都市：其他:住宅區,持分移轉
RPPNMLKKJIPFFAV56DA,青林段,29.46,都市：其他:住宅區,持分移轉
RPOOMLTJJIPFFAV37DA,青林段,343.73,都市：其他:住宅區,全筆移轉
RPOOMLTJJIPFFAV37DA,青林段,53.20,都市：其他:住宅區,全筆移轉
RPTQMLOJJIPFFAV57DA,豐谷段,70.00,都市：其他:住宅區,全筆移轉
RPTQMLOJJIPFFAV57DA,豐谷段,23.00,都市：其他:道路用地,全筆移轉
RPUNMLMJJIPFFAV17DA,豐年段,107.17,非都市： ; 非都市編定：,全筆移轉
RPSQMLOJJIPFFAV47DA,豐年段,97.12,都市：其他:住宅區,全筆移轉
RPQNMLMJJIPFFAV76DA,台東段,86.00,都市：其他:住宅區,全筆移轉
RPPNMLQLQHPFFAV87DA,東海段,96.90,都市：其他:住宅區,全筆移轉
RPQNMLQLQHPFFAV97DA,東海段,92.15,非都市： ; 非都市編定：,全筆移轉
RPQNMLTJJIPFFDV87EA,達人段,17.39,非都市：山坡地保育區 ; 非都市編定：交通用地,持分移轉
RPPNMLMKJIPFFCV96DA,萬福段,5944.85,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLTJJIPFFDV97EA,達人段,17.39,非都市：山坡地保育區 ; 非都市編定：交通用地,持分移轉
RPTNMLLKJIPFFAV07DA,豐嘉段,335.34,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPUNMLLKJIPFFAV17DA,合江段,1257.22,非都市：風景區 ; 非都市編定：農牧用地,持分移轉
RPUNMLLKJIPFFAV17DA,合江段,1257.22,非都市：風景區 ; 非都市編定：農牧用地,持分移轉
RPUNMLTJJIPFFDV18DA,秀山段,8.08,都市：其他:出租旅館區,持分移轉
RPUNMLTJJIPFFDV18DA,秀山段,.00,都市：其他:道路用地,持分移轉
RPSOMLNJJIPFFAV17DA,中清段,56.69,都市：其他:住宅區,持分移轉
RPSOMLNJJIPFFAV17DA,中清段,6.59,都市：其他:道路用地,持分移轉
RPQNMLTJJIPFFCV67DA,慶豐段,528.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLTJJIPFFCV67DA,慶豐段,5.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
