鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
金城鎮,房地(土地+建物),大古崗121~150號,47.5,都市：其他:風景區,,,1090401,土地3建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090529,99.74000000000001,3,2,2,有,無,6000000,60156,,0.0,0,,RPUNMLLLIIPFFAW27DA,68.73,0.0,6.58,有
金寧鄉,房地(土地+建物),湖南301~330號,51.32,都市：其他:自然村專用區,,,1090915,土地3建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090708,112.72,3,2,2,有,無,6500000,57665,,0.0,0,,RPQOMLMJJIPFFAW96DA,88.33,0.0,9.2,有
金城鎮,房地(土地+建物),民族路246巷1~30號,15.7,都市：其他:第二種住宅區,,,1091028,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1040811,43.21,1,1,1,有,無,3760000,87017,,0.0,0,,RPQNMLTJJIPFFAW57DA,32.23,0.0,4.16,無
金寧鄉,房地(土地+建物)+車位,湖下361~390號,101.89,都市：其他:自然村專用區,,,1091022,土地2建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090612,237.9,3,2,4,有,無,16000000,67255,其他,0.0,0,電梯現況尚未安裝，土地8800000元，建物7200000元。預售屋、或土地及建物分次登記案件;,RPWNMLPJJIPFFAW77DA,219.8,0.0,18.1,有
金城鎮,土地,前水頭測段391~420地號,83.0,都市：其他:國家公園區,,,1091102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,21687,,0.0,0,,RPSNMLMJJIPFFAW17EA,0.0,0.0,0.0,無
金寧鄉,房地(土地+建物),湖南301~330號,51.32,都市：其他:自然村專用區,,,1090915,土地3建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090708,112.72,3,2,2,有,無,6134000,54418,,0.0,0,,RPROMLMJJIPFFAW07DA,88.33,0.0,9.2,有
金寧鄉,房地(土地+建物),湖南301~330號,51.32,都市：其他:自然村專用區,,,1090915,土地3建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090708,112.72,3,2,2,有,無,7000000,62101,,0.0,0,,RPTOMLMJJIPFFAW27DA,88.33,0.0,9.2,有
金沙鎮,土地,北九劃段931~960地號,3214.65,都市：其他:農業區,,,1091029,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,2333,,0.0,0,,RPVNMLMJJIPFFAW37DA,0.0,0.0,0.0,無
金湖鎮,房地(土地+建物),國順街1~30號,98.38,都市：其他:乙種工業區,,,1091029,土地1建物1車位0,全,三層,透天厝,工業用,見其他登記事項,0810108,232.5,0,0,0,無,無,12000000,51613,,0.0,0,頂樓加蓋;,RPRNMLOJJIPFFAW17DA,232.5,0.0,0.0,無
金寧鄉,房地(土地+建物),湖南301~330號,51.32,都市：其他:自然村專用區,,,1090915,土地3建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090708,112.72,3,2,2,有,無,6600000,58552,,0.0,0,,RPTNMLNJJIPFFAW27DA,88.33,0.0,9.2,有
