編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPJJIPFFAW77DA,,237.90,見其他登記事項,鋼筋混凝土造,109年6月12日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLTJJIPFFAW57DA,5,36.39,見其他登記事項,鋼筋混凝土造,104年8月11日,四層,三層
RPQNMLTJJIPFFAW57DA,5,6.82,見其他登記事項,鋼筋混凝土造,104年8月11日,四層,
RPUNMLLLIIPFFAW27DA,,75.31,見其他登記事項,鋼筋混凝土造,109年5月29日,五層,三層
RPUNMLLLIIPFFAW27DA,,24.43,見其他登記事項,鋼筋混凝土造,109年5月29日,五層,
RPQOMLMJJIPFFAW96DA,,97.53,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,一層
RPTOMLMJJIPFFAW27DA,,97.53,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,二層
RPQOMLMJJIPFFAW96DA,,15.19,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,
RPROMLMJJIPFFAW07DA,,97.53,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,三層
RPROMLMJJIPFFAW07DA,,15.19,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,
RPTOMLMJJIPFFAW27DA,,15.19,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,
RPRNMLOJJIPFFAW17DA,29,232.50,工業用,見其他登記事項,81年1月8日,三層,一層 二層 三層 騎樓
RPTNMLNJJIPFFAW27DA,,97.53,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,四層
RPTNMLNJJIPFFAW27DA,,15.19,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,
RPSOMLMJJIPFFAW17DA,,97.53,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,五層
RPSOMLMJJIPFFAW17DA,,15.19,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,
RPSNMLTLIIPFFAW87DA,,83.98,見其他登記事項,鋼筋混凝土造,109年5月29日,五層,二層
RPSNMLTLIIPFFAW87DA,,12.22,見其他登記事項,鋼筋混凝土造,109年5月29日,五層,
RPQNMLQJJIPFFAW27DA,,97.53,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,四層
RPQNMLQJJIPFFAW27DA,,15.19,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,
RPPNMLQJJIPFFAW17DA,,97.53,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,二層
RPPNMLQJJIPFFAW17DA,,15.19,見其他登記事項,鋼筋混凝土造,109年7月8日,五層,
RPROMLTLIIPFFAW87DA,,216.34,住家用,鋼筋混凝土造,109年7月8日,三層,一層 二層 三層 屋頂突出物
RPQNMLKKJIPFFAW76DA,,26.93,見其他登記事項,鋼筋混凝土造,109年7月16日,四層,一層
RPQNMLKKJIPFFAW76DA,,26.93,見其他登記事項,鋼筋混凝土造,109年7月16日,四層,一層
RPQNMLKKJIPFFAW76DA,,26.93,見其他登記事項,鋼筋混凝土造,109年7月16日,四層,一層
RPQNMLKKJIPFFAW76DA,,4.83,見其他登記事項,鋼筋混凝土造,109年7月16日,四層,
RPQNMLKKJIPFFAW76DA,,4.83,見其他登記事項,鋼筋混凝土造,109年7月16日,四層,
RPQNMLKKJIPFFAW76DA,,4.83,見其他登記事項,鋼筋混凝土造,109年7月16日,四層,
RPPNMLKMIIPFFAW76DA,,56.71,見其他登記事項,鋼筋混凝土造,107年10月25日,三層,二層
RPPNMLKMIIPFFAW76DA,,5.32,見其他登記事項,鋼筋混凝土造,107年10月25日,三層,
RPQNMLOJJIPFFAW07DA,22,86.93,住家用,鋼筋混凝土造,88年3月10日,五層,三層
RPQNMLOJJIPFFAW07DA,22,9.74,見其他登記事項,鋼筋混凝土造,88年3月10日,五層,
RPQOMLTLIIPFFAW77DA,,213.30,住家用,鋼筋混凝土造,109年7月8日,三層,一層 二層 三層 屋頂突出物
RPTOMLQLIIPFFAW77DA,8,100.93,見其他登記事項,鋼筋混凝土造,101年9月18日,三層,三層
RPTOMLQLIIPFFAW77DA,8,11.05,見其他登記事項,鋼筋混凝土造,101年9月18日,三層,
RPROMLMKJIPFFAW17DA,,74.91,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,三層
RPROMLMKJIPFFAW17DA,,17.82,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
RPUOMLMKJIPFFAW47DA,,74.91,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,四層
SPUOMLMKJIPFFAW57DA,,61.87,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,四層
RPUOMLMKJIPFFAW47DA,,17.82,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
SPUOMLMKJIPFFAW57DA,,14.64,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
RPVOMLMKJIPFFAW57DA,,61.57,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,一層
RPVOMLMKJIPFFAW57DA,,14.64,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
RPWOMLMKJIPFFAW67DA,,61.87,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,二層
RPWOMLMKJIPFFAW67DA,,14.64,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
RPPPMLMKJIPFFAW07DA,,74.91,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,四層
RPPPMLMKJIPFFAW07DA,,17.82,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
RPOPMLMKJIPFFAW96DA,,61.87,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,三層
RPOPMLMKJIPFFAW96DA,,14.64,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
RPXOMLMKJIPFFAW77DA,,61.87,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,五層
RPXOMLMKJIPFFAW77DA,,14.64,見其他登記事項,鋼筋混凝土造,109年9月25日,五層,
RPRNMLPLRHPFFAW18DA,5,90.36,見其他登記事項,鋼筋混凝土造,104年7月16日,三層,一層 地下一層
RPRNMLPLRHPFFAW18DA,5,17.14,見其他登記事項,鋼筋混凝土造,104年7月16日,三層,
RPRNMLOLRHPFFAW08DA,,191.85,見其他登記事項,鋼筋混凝土造,104年9月11日,三層,一層 二層 三層
RPQNMLRKJIPFFAW47DA,7,88.75,見其他登記事項,鋼筋混凝土造,102年10月25日,三層,一層
RPQNMLRKJIPFFAW47DA,7,5.32,見其他登記事項,鋼筋混凝土造,102年10月25日,三層,
RPPNMLRKJIPFFAW37DA,11,33.16,見其他登記事項,鋼筋混凝土造,98年5月20日,四層,三層
RPPNMLRKJIPFFAW37DA,11,8.59,見其他登記事項,鋼筋混凝土造,98年5月20日,四層,
