編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLPJJIPFFAW77DA,煙墩段,37.71,都市：其他:自然村專用區,持分移轉
RPWNMLPJJIPFFAW77DA,煙墩段,64.18,都市：其他:自然村專用區,持分移轉
RPSNMLMJJIPFFAW17EA,前水頭測段,83.00,都市：其他:國家公園區,持分移轉
RPQNMLTJJIPFFAW57DA,城南段,15.70,都市：其他:第二種住宅區,持分移轉
RPVNMLMJJIPFFAW37DA,沙溪一劃段,881.62,都市：其他:農業區,全筆移轉
RPVNMLMJJIPFFAW37DA,沙溪一劃段,720.00,都市：其他:農業區,全筆移轉
RPVNMLMJJIPFFAW37DA,峰上段,479.03,都市：其他:農業區,全筆移轉
RPVNMLMJJIPFFAW37DA,峰上段,134.00,都市：其他:自然村專用區,全筆移轉
RPVNMLMJJIPFFAW37DA,北九劃段,1000.00,都市：其他:農業區,全筆移轉
RPUNMLLLIIPFFAW27DA,古崗段,39.70,都市：其他:自然村專用區,持分移轉
RPUNMLLLIIPFFAW27DA,古崗段,4.47,都市：其他:自然村專用區,持分移轉
RPUNMLLLIIPFFAW27DA,古崗段,3.33,都市：其他:風景區,持分移轉
RPQOMLMJJIPFFAW96DA,寧安二劃段,16.67,都市：其他:自然村專用區,持分移轉
RPTOMLMJJIPFFAW27DA,寧安二劃段,16.67,都市：其他:自然村專用區,持分移轉
RPQOMLMJJIPFFAW96DA,寧安二劃段,5.65,都市：其他:農業區,持分移轉
RPTOMLMJJIPFFAW27DA,寧安二劃段,5.65,都市：其他:農業區,持分移轉
RPQOMLMJJIPFFAW96DA,寧安二劃段,29.00,都市：其他:自然村專用區,持分移轉
RPROMLMJJIPFFAW07DA,寧安二劃段,16.67,都市：其他:自然村專用區,持分移轉
RPROMLMJJIPFFAW07DA,寧安二劃段,5.65,都市：其他:農業區,持分移轉
RPROMLMJJIPFFAW07DA,寧安二劃段,29.00,都市：其他:自然村專用區,持分移轉
RPTOMLMJJIPFFAW27DA,寧安二劃段,29.00,都市：其他:自然村專用區,持分移轉
RPRNMLOJJIPFFAW17DA,湖前段,98.38,都市：其他:乙種工業區,全筆移轉
RPTNMLNJJIPFFAW27DA,寧安二劃段,16.67,都市：其他:自然村專用區,持分移轉
RPTNMLNJJIPFFAW27DA,寧安二劃段,5.65,都市：其他:農業區,持分移轉
RPTNMLNJJIPFFAW27DA,寧安二劃段,29.00,都市：其他:自然村專用區,持分移轉
RPXNMLMKJIPFFAW67DA,寧安二劃段,1000.00,都市：其他:農業區,全筆移轉
RPSOMLMJJIPFFAW17DA,寧安二劃段,16.67,都市：其他:自然村專用區,持分移轉
RPSOMLMJJIPFFAW17DA,寧安二劃段,5.65,都市：其他:農業區,持分移轉
RPSOMLMJJIPFFAW17DA,寧安二劃段,29.00,都市：其他:自然村專用區,持分移轉
RPSNMLLKJIPFFAW07DA,北二三劃測段,1000.01,都市：其他:農業區,全筆移轉
RPVOMLMKJIPFFAW67EA,湖東劃段,354.00,都市：其他:農業區,全筆移轉
RPSNMLTLIIPFFAW87DA,古崗段,39.70,都市：其他:自然村專用區,持分移轉
RPSNMLTLIIPFFAW87DA,古崗段,4.47,都市：其他:自然村專用區,持分移轉
RPSNMLTLIIPFFAW87DA,古崗段,3.33,都市：其他:風景區,持分移轉
RPQNMLQJJIPFFAW27DA,寧安二劃段,16.67,都市：其他:自然村專用區,持分移轉
RPQNMLQJJIPFFAW27DA,寧安二劃段,5.65,都市：其他:農業區,持分移轉
RPQNMLQJJIPFFAW27DA,寧安二劃段,29.00,都市：其他:自然村專用區,持分移轉
RPPNMLQJJIPFFAW17DA,寧安二劃段,16.67,都市：其他:自然村專用區,持分移轉
RPPNMLQJJIPFFAW17DA,寧安二劃段,5.65,都市：其他:農業區,持分移轉
RPPNMLQJJIPFFAW17DA,寧安二劃段,29.00,都市：其他:自然村專用區,持分移轉
RPROMLTLIIPFFAW87DA,寧安二劃段,118.00,都市：其他:農業區,全筆移轉
RPQNMLKKJIPFFAW76DA,湖前段,15.31,都市：其他:自然村專用區,持分移轉
RPQNMLKKJIPFFAW76DA,湖前段,15.31,都市：其他:自然村專用區,持分移轉
RPQNMLKKJIPFFAW76DA,湖前段,15.31,都市：其他:自然村專用區,持分移轉
RPPNMLKMIIPFFAW76DA,料羅段,31.00,都市：其他:自然村專用區,持分移轉
RPUNMLMKJIPFFAW37DA,南雄段,112.03,都市：其他:國家公園區,持分移轉
RPTNMLMKJIPFFAW27DA,南雄段,138.15,都市：其他:農業區,持分移轉
RPPNMLOKJIPFFAW07DA,湖后劃段,1120.00,都市：其他:農業區,全筆移轉
RPQNMLOJJIPFFAW07DA,城西段,20.16,都市：其他:第三種住宅區。,持分移轉
RPQOMLTLIIPFFAW77DA,寧安二劃段,102.00,都市：其他:農業區,全筆移轉
RPTOMLQLIIPFFAW77DA,青山段,62.94,都市：其他:自然村專用區,持分移轉
RPROMLMKJIPFFAW17DA,寧湖二劃測段,39.94,都市：其他:自然村專用區,持分移轉
RPUNMLNKJIPFFAW47DA,北一段,331.78,都市：其他:農業區,全筆移轉
RPVNMLNKJIPFFAW57DA,北一段,384.62,都市：其他:農業區,全筆移轉
RPXNMLNKJIPFFAW87EA,青嶼測段,461.42,都市：其他:農業區,全筆移轉
RPRNMLQKJIPFFAW47DA,寧湖二劃測段,607.04,都市：其他:農業區,全筆移轉
RPOOMLNKJIPFFAW96DA,延平段,838.29,都市：其他:農業區,全筆移轉
RPOOMLNKJIPFFAW96DA,延平段,38.18,非都市： ; 非都市編定：,全筆移轉
RPTNMLLKJIPFFAW17DA,中山林段,462.27,都市：其他:道路用地,全筆移轉
RPTNMLLKJIPFFAW17DA,中三劃測段,745.54,都市：其他:農業區,全筆移轉
RPRNMLRKJIPFFAW57DA,漁村段,200.18,都市：其他:自然村專用區,全筆移轉
RPSNMLRKJIPFFAW67DA,漁村段,66.06,都市：其他:自然村專用區,全筆移轉
RPSNMLRKJIPFFAW67DA,漁村段,4.87,都市：其他:自然村專用區,全筆移轉
RPSNMLRKJIPFFAW67DA,漁村段,59.00,都市：其他:自然村專用區,全筆移轉
RPSNMLRKJIPFFAW67DA,漁村段,145.00,都市：其他:自然村專用區,全筆移轉
RPSNMLRKJIPFFAW67DA,漁村段,41.00,都市：其他:自然村專用區,全筆移轉
RPQOMLNKJIPFFAW17DA,寧古劃段,500.00,都市：其他:國家公園區,全筆移轉
RPQNMLMKJIPFFAW96DA,中三劃測段,953.33,都市：其他:農業區,全筆移轉
RPRNMLPLRHPFFAW18DA,新頭段,47.08,都市：其他:自然村專用區,持分移轉
RPTNMLRKJIPFFAW87EA,珠山段,929.29,都市：其他:國家公園區,全筆移轉
RPRNMLOLRHPFFAW08DA,寧古劃段,500.00,都市：其他:國家公園區,全筆移轉
RPRNMLOLRHPFFAW08DA,莒光樓段,14.19,都市：其他:農業區,持分移轉
RPRNMLOLRHPFFAW08DA,莒光樓段,124.84,都市：其他:農業區,全筆移轉
RPRNMLOLRHPFFAW08DA,莒光樓段,36.13,都市：其他:農業區,持分移轉
RPQNMLRKJIPFFAW47DA,昔果山測段,54.97,都市：其他:自然村專用區,持分移轉
RPPNMLRKJIPFFAW37DA,祥瑞段,14.07,都市：其他:第六種住宅區,持分移轉
