鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
馬公市,房地(土地+建物),宅嶼1~30號,34.75,,鄉村區,乙種建築用地,1091018,土地1建物1車位0,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090505,98.02,2,2,2,有,無,4700000,47949,,0.0,0,預售屋、或土地及建物分次登記案件;,RPOQMLKMIIPFFAX07DA,64.75,9.3,0.0,有
馬公市,房地(土地+建物)+車位,宅嶼1~30號,37.49,,鄉村區,乙種建築用地,1091018,土地1建物1車位3,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090505,158.74,2,2,2,有,無,6200000,39058,一樓平面,59.88,0,預售屋、或土地及建物分次登記案件;,RPPQMLKMIIPFFAX17DA,65.57,9.14,0.0,有
馬公市,房地(土地+建物),宅嶼1~30號,39.32,,鄉村區,乙種建築用地,1091018,土地1建物1車位0,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090505,112.07,2,2,2,有,無,5100000,45507,,0.0,0,預售屋、或土地及建物分次登記案件;,RPQQMLKMIIPFFAX27DA,69.13,15.56,0.0,有
馬公市,房地(土地+建物),宅嶼1~30號,32.01,,鄉村區,乙種建築用地,1091018,土地1建物1車位0,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090505,92.44,2,2,2,有,無,4500000,48680,,0.0,0,預售屋、或土地及建物分次登記案件;,RPRQMLKMIIPFFAX37DA,59.98,9.85,0.0,有
馬公市,房地(土地+建物),宅嶼1~30號,33.84,,鄉村區,乙種建築用地,1091018,土地1建物1車位0,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090505,97.74,2,2,2,有,無,4800000,49110,,0.0,0,預售屋、或土地及建物分次登記案件;,RPSQMLKMIIPFFAX47DA,64.86,8.99,0.0,有
白沙鄉,土地,中屯新段1441~1470地號,63.07,,鄉村區,乙種建築用地,1091013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,146700,2326,,0.0,0,地清或未辦繼承標售;,RPTNMLKKJIPFFAX17DA,0.0,0.0,0.0,無
白沙鄉,土地,中屯新段1441~1470地號,189.2,,鄉村區,乙種建築用地,1091013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,439000,2320,,0.0,0,地清或未辦繼承標售;,SPTNMLKKJIPFFAX27DA,0.0,0.0,0.0,無
馬公市,土地,興崁段511~540地號,228.05,,一般農業區,甲種建築用地,1091019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,37273,,0.0,0,農變建之起造人變更含未來興建房屋價款親友、員工、共有人或其他特殊關係間之交易;土地交易案件之價格含未來興建房屋成本;,RPWNMLKKJIPFFAX47DA,0.0,0.0,0.0,無
馬公市,土地,裡新段451~480地號,227.39,,鄉村區,乙種建築用地,1091014,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3450000,15172,,0.0,0,未登記建物;,RPSNMLLKJIPFFAX17DA,0.0,0.0,0.0,無
