編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPQMLKMIIPFFAX17DA,,74.71,見其他登記事項,鋼筋混凝土造,109年5月5日,五層,五層 見其他登記事項
RPPQMLKMIIPFFAX17DA,,84.03,共用部份,鋼筋混凝土造,109年5月5日,五層,
RPOQMLKMIIPFFAX07DA,,74.05,見其他登記事項,鋼筋混凝土造,109年5月5日,五層,五層 見其他登記事項
RPOQMLKMIIPFFAX07DA,,23.97,共用部份,鋼筋混凝土造,109年5月5日,五層,
RPSQMLKMIIPFFAX47DA,,73.85,見其他登記事項,鋼筋混凝土造,109年5月5日,五層,五層 見其他登記事項
RPSQMLKMIIPFFAX47DA,,23.89,共用部份,鋼筋混凝土造,109年5月5日,五層,
RPRQMLKMIIPFFAX37DA,,69.83,見其他登記事項,鋼筋混凝土造,109年5月5日,五層,五層 見其他登記事項
RPRQMLKMIIPFFAX37DA,,22.61,共用部份,鋼筋混凝土造,109年5月5日,五層,
RPQQMLKMIIPFFAX27DA,,42.34,見其他登記事項,鋼筋混凝土造,109年5月5日,五層,五層 見其他登記事項
RPQQMLKMIIPFFAX27DA,,42.34,見其他登記事項,鋼筋混凝土造,109年5月5日,五層,五層 見其他登記事項
RPQQMLKMIIPFFAX27DA,,13.69,共用部份,鋼筋混凝土造,109年5月5日,五層,
RPQQMLKMIIPFFAX27DA,,13.69,共用部份,鋼筋混凝土造,109年5月5日,五層,
RPXNMLKKJIPFFAX57DA,5,257.21,住家用,鋼筋混凝土造,104年9月8日,三層,一層 二層 三層 見其他登記事項
RPPOMLMJJIPFFAX96DA,,17.35,住商用,見其他登記事項,,二層,一層 二層
RPSNMLQKJIPFFAX67DA,23,98.38,住家用,鋼筋混凝土造,86年6月28日,八層,七層
RPRNMLRKJIPFFAX67DA,,337.23,住家用,鋼筋混凝土造,109年7月31日,三層,一層 二層 三層 見其他登記事項
RPSNMLQKJIPFFAX67DA,23,31.57,住家用,鋼筋混凝土造,86年6月28日,八層,
