編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLLKJIPFFAX17DA,裡新段,133.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
SPTNMLKKJIPFFAX27DA,中屯新段,189.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSNMLLKJIPFFAX17DA,裡新段,93.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPPQMLKMIIPFFAX17DA,安宅段,37.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPWNMLKKJIPFFAX47DA,興崁段,57.04,非都市：一般農業區 ; 非都市編定：交通用地,持分移轉
RPWNMLKKJIPFFAX47DA,興崁段,171.01,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLRLIIPFFAX57DA,四維段,306.92,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPQNMLRLIIPFFAX57DA,四維段,291.57,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPTNMLKKJIPFFAX17DA,中屯新段,63.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPRNMLTLIIPFFAX87DA,案山段,104.47,都市：其他:住宅區,全筆移轉
RPRNMLTLIIPFFAX87DA,案山段,129.58,都市：其他:住宅區,全筆移轉
RPOQMLKMIIPFFAX07DA,安宅段,34.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSQMLKMIIPFFAX47DA,安宅段,33.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPRQMLKMIIPFFAX37DA,安宅段,32.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQQMLKMIIPFFAX27DA,安宅段,39.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPXNMLKKJIPFFAX57DA,六合段,150.51,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPXNMLKKJIPFFAX57DA,六合段,106.46,非都市：一般農業區 ; 非都市編定：交通用地,持分移轉
RPQNMLTLIIPFFAX77DA,案山段,234.00,都市：其他:住宅區,全筆移轉
RPUNMLKKJIPFFAX27DA,沙港南段,651.86,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPOMLMJJIPFFAX96DA,馬公段,9.25,都市：其他:商業區,持分移轉
RPRNMLNKJIPFFAX37EA,外垵二段,199.30,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLNKJIPFFAX37EA,外垵二段,153.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPPNMLMKJIPFFAX96DA,尖山中段,2426.87,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLRLIIPFFAX97DA,許家段,292.06,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPUNMLRLIIPFFAX97DA,許家段,202.97,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPUNMLRLIIPFFAX97DA,許家段,174.83,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLQKJIPFFAX67DA,東澳段,.57,都市：其他:住宅區,持分移轉
RPRNMLRKJIPFFAX67DA,成功南段,29.48,非都市：一般農業區 ; 非都市編定：交通用地,持分移轉
RPSNMLQKJIPFFAX67DA,東澳段,25.16,都市：其他:住宅區,持分移轉
RPRNMLRKJIPFFAX67DA,成功南段,251.44,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPSNMLQJJIPFFAX57DA,裡新段,53.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTNMLNJJIPFFAX47EA,山水南段,92.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPQNMLQKJIPFFAX57EA,七美二段,238.26,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPXNMLTLIIPFFAX48DA,龍門南段,512.16,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLTJJIPFFAX77DA,五福段,329.97,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPRNMLTJJIPFFAX77DA,五福段,30.54,非都市：一般農業區 ; 非都市編定：交通用地,持分移轉
RPUQMLKMIIPFFAX67DA,龍門北段,399.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLRKJIPFFAX77DA,小赤段,229.08,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLRKJIPFFAX77DA,小赤段,313.35,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLRKJIPFFAX77DA,小赤段,223.71,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLMKJIPFFAX27DA,文寮段,696.56,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLTKJIPFFAX97DA,文寮段,650.33,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLRKJIPFFAX57EA,港子新段,2717.97,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
